Country Code,Country Name,Year,GDP_per_capita,CHE10_pct,z_score,GDP_Quartile
MKD,North Macedonia,2005,3120.98401394233,7.06,0.247396340258121,Q2
MNE,Montenegro,2005,3674.6179242797,8.57,0.004659895623599393,Q3
NER,Niger,2005,318.643121918273,3.74,0.7810950132293867,Q1 (Lowest GDP)
POL,Poland,2005,8043.92332253757,14.61,0.9662858829144865,Q4 (Highest GDP)
ROU,Romania,2005,4618.00350802913,10.06,0.23486149676410728,Q3
RWA,Rwanda,2005,324.016863847189,2.37,1.0013260921362042,Q1 (Lowest GDP)
SEN,Senegal,2005,979.846101520171,1.38,1.1604711783535395,Q1 (Lowest GDP)
SVK,Slovak Republic,2005,11641.5410321763,5.32,0.5271058857310132,Q4 (Highest GDP)
TTO,Trinidad and Tobago,2005,12346.4373094075,2.58,0.9675680435446483,Q4 (Highest GDP)
UGA,Uganda,2005,330.405402707025,20.3,1.8809682471333127,Q1 (Lowest GDP)
UKR,Ukraine,2005,1875.33508300781,8.2,0.06413836218967436,Q2
USA,United States,2005,44123.4070679055,5.67,0.47084247141175334,Q4 (Highest GDP)
YEM,"Yemen, Rep.",2005,734.159908450927,15.98,1.186516961821304,Q1 (Lowest GDP)
ZAF,South Africa,2005,5836.87663325127,1.75,1.1009927117874647,Q3
ARM,Armenia,2006,2041.65267068997,10.83,0.3586410082664791,Q2
BDI,Burundi,2006,161.892755640319,12.46,0.6206677663818898,Q1 (Lowest GDP)
BLR,Belarus,2006,3848.22350300163,2.64,0.9579228868042037,Q3
GEO,Georgia,2006,1996.02013272284,16.29,1.2363502716469341,Q2
HUN,Hungary,2006,11478.4891640501,10.09,0.23968407513432946,Q4 (Highest GDP)
IDN,Indonesia,2006,1558.31562847163,1.82,1.0897400289236128,Q2
IND,India,2006,801.668353659022,16.84,1.3247642084343427,Q1 (Lowest GDP)
IRN,"Iran, Islamic Rep.",2006,3618.91601364428,11.79,0.5129635161135919,Q3
IRQ,Iraq,2006,2276.55435744086,3.33,0.8470035842890913,Q2
ISR,Israel,2006,22527.2619795719,11.38,0.4470549450538877,Q4 (Highest GDP)
KAZ,Kazakhstan,2006,5030.13494711519,3.56,0.8100304834507204,Q3
KGZ,Kyrgyz Republic,2006,543.113512472219,3.96,0.7457294385144233,Q1 (Lowest GDP)
LKA,Sri Lanka,2006,1388.89739119932,5.55,0.49013278489264245,Q2
MDA,Moldova,2006,1183.02481442894,15.06,1.0386245584678209,Q2
MKD,North Macedonia,2006,3440.4411057968,7.84,0.12200930263234164,Q3
MLI,Mali,2006,586.985415515264,3.38,0.8389659536720542,Q1 (Lowest GDP)
MNE,Montenegro,2006,4418.84951521682,6.5,0.3374178031689369,Q3
PER,Peru,2006,3129.55996496982,10.74,0.3441732731558123,Q2
PHL,Philippines,2006,1426.14649179546,4.39,0.6766058152079041,Q2
POL,Poland,2006,9068.85528307627,13.82,0.8392913191652999,Q4 (Highest GDP)
ROU,Romania,2006,5757.53127301178,10.62,0.324882959674923,Q3
SVK,Slovak Republic,2006,13167.8954730379,4.14,0.7167939682930897,Q4 (Highest GDP)
SYC,Seychelles,2006,12782.9938926475,0.07,1.3710571005199124,Q4 (Highest GDP)
