Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
ISR,Israel,2008,30269.217773489,11.09,50-75%
JAM,Jamaica,2008,5029.80095281745,3.79,25-50%
JOR,Jordan,2008,3241.6524135556,1.72,Lowest 25%
KAZ,Kazakhstan,2008,8123.54705891736,3.65,25-50%
KGZ,Kyrgyz Republic,2008,966.388569370494,3.67,25-50%
LTU,Lithuania,2008,14955.5345462921,12.85,Highest 25%
LVA,Latvia,2008,15677.6080864506,15.1,Highest 25%
MDA,Moldova,2008,2110.55305353857,14.93,Highest 25%
MNE,Montenegro,2008,7359.95118960869,6.86,25-50%
MOZ,Mozambique,2008,592.159111184122,1.19,Lowest 25%
PER,Peru,2008,4197.58444634142,11.57,50-75%
POL,Poland,2008,14048.5604672654,14.0,Highest 25%
ROU,Romania,2008,10435.1561230787,11.48,50-75%
SVK,Slovak Republic,2008,18744.3192278346,4.72,25-50%
UKR,Ukraine,2008,4017.806640625,5.83,25-50%
USA,United States,2008,48570.0459804586,4.56,25-50%
ARM,Armenia,2009,2820.5926553347,9.74,50-75%
BEL,Belgium,2009,44923.3400135081,11.45,50-75%
BFA,Burkina Faso,2009,601.569520671859,3.54,Lowest 25%
BLR,Belarus,2009,5352.48809190697,3.22,Lowest 25%
BWA,Botswana,2009,5082.93388332404,1.06,Lowest 25%
GEO,Georgia,2009,2822.68939668797,26.06,Highest 25%
HRV,Croatia,2009,14474.6519774194,2.46,Lowest 25%
IDN,Indonesia,2009,2218.48541852977,3.5,Lowest 25%
IND,India,2009,1094.94974598436,14.14,Highest 25%
IRL,Ireland,2009,52133.0906162544,5.59,25-50%
IRN,"Iran, Islamic Rep.",2009,5415.52280553446,13.69,Highest 25%
ISR,Israel,2009,28508.4938886475,12.41,Highest 25%
JAM,Jamaica,2009,4428.38153333557,4.91,25-50%
KAZ,Kazakhstan,2009,6938.01175663001,2.65,Lowest 25%
KGZ,Kyrgyz Republic,2009,870.198894546917,3.97,25-50%
KHM,Cambodia,2009,875.748936193569,20.79,Highest 25%
LKA,Sri Lanka,2009,2026.65939950702,4.14,25-50%
LVA,Latvia,2009,11996.0322729773,15.46,Highest 25%
MDA,Moldova,2009,1898.43975710988,16.53,Highest 25%
MKD,North Macedonia,2009,4799.78722768888,5.27,25-50%
MLI,Mali,2009,787.482564287398,4.44,25-50%
MNE,Montenegro,2009,6700.11405052395,7.42,25-50%
NAM,Namibia,2009,4302.91374148376,1.22,Lowest 25%
NGA,Nigeria,2009,1820.48633854782,24.77,Highest 25%
NIC,Nicaragua,2009,1467.08288052845,16.18,Highest 25%
PER,Peru,2009,4181.18755462253,10.64,50-75%
PHL,Philippines,2009,1864.45043406471,4.5,25-50%
POL,Poland,2009,11556.3026866026,14.4,Highest 25%
ROU,Romania,2009,8548.4543409242,12.15,50-75%
SDN,Sudan,2009,1178.22180175781,18.36,Highest 25%
SSD,South Sudan,2009,1323.22068747862,9.3,50-75%
SVK,Slovak Republic,2009,16586.7527805228,4.94,25-50%
TJK,Tajikistan,2009,664.795655734657,15.38,Highest 25%
UGA,Uganda,2009,798.947089938247,16.77,Highest 25%
UKR,Ukraine,2009,2607.08764648438,6.83,25-50%
USA,United States,2009,47194.9433547336,4.7,25-50%
XKX,Kosovo,2009,2794.86699473069,8.54,50-75%
ARM,Armenia,2010,3041.34450723339,17.52,Highest 25%
BLR,Belarus,2010,6034.67885177216,3.04,Lowest 25%
COL,Colombia,2010,6398.2958447102,16.92,Highest 25%
DEU,Germany,2010,42396.9665976293,1.54,Lowest 25%
DNK,Denmark,2010,58104.5445594981,2.93,Lowest 25%
GEO,Georgia,2010,3281.72930937343,24.96,Highest 25%
GMB,"Gambia, The",2010,801.033372714536,0.61,Lowest 25%
GNB,Guinea-Bissau,2010,600.194298540768,6.26,25-50%
HRV,Croatia,2010,13729.7654965022,2.8,Lowest 25%
IDN,Indonesia,2010,3065.68348377765,3.45,Lowest 25%
ISR,Israel,2010,31439.0887027614,9.71,50-75%
ITA,Italy,2010,35856.8625485539,9.29,50-75%
JAM,Jamaica,2010,4809.977380312,4.02,25-50%
JOR,Jordan,2010,3718.46571622945,2.3,Lowest 25%
KAZ,Kazakhstan,2010,8793.07589980782,3.37,Lowest 25%
KGZ,Kyrgyz Republic,2010,876.954476440354,3.67,25-50%
KHM,Cambodia,2010,952.274616324008,18.48,Highest 25%
LUX,Luxembourg,2010,110885.991378721,3.38,Lowest 25%
MDA,Moldova,2010,2436.79935102421,18.11,Highest 25%
MDG,Madagascar,2010,450.009391645726,1.64,Lowest 25%
MKD,North Macedonia,2010,4833.36586759968,7.88,50-75%
MNE,Montenegro,2010,6678.63930800758,7.03,25-50%
MWI,Malawi,2010,683.124694716799,1.64,Lowest 25%
PAK,Pakistan,2010,987.304571124485,3.04,Lowest 25%
POL,Poland,2010,12567.7317676382,13.46,Highest 25%
ROU,Romania,2010,8399.5374234284,12.26,Highest 25%
RUS,Russian Federation,2010,10674.990234375,3.8,25-50%
UKR,Ukraine,2010,3039.63232421875,6.91,25-50%
USA,United States,2010,48642.6100179312,4.76,25-50%
XKX,Kosovo,2010,2987.54519574464,8.48,50-75%
ZMB,Zambia,2010,1451.10616017155,0.29,Lowest 25%
ARM,Armenia,2011,3349.55309771906,12.8,Highest 25%
BEN,Benin,2011,1059.41358852588,7.17,25-50%
BLR,Belarus,2011,6527.6593428786,3.27,Lowest 25%
CHL,Chile,2011,14487.3927832032,9.3,50-75%
COG,"Congo, Rep.",2011,3396.16505817952,4.58,25-50%
