Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,HDI_Value,HDI_Rank,HDI_Rank_2022,GNI_per_capita,GNI_HDI_Rank_Diff,Life_Expectancy,Expected_Schooling,Mean_Schooling,HDI_Category,HDI_Cat_High,HDI_Cat_Low,HDI_Cat_Medium,ln_GNI,HDI_WGI
Jamaica,JAM,3,1.4472114298907233,10.316666666666666,40.97784805333333,7.4834946,2002,2004,0.0501706777777777,0.194288719047619,-0.213523238095238,-0.2248104047619047,42.25,0.72,117.0,117.0,10056.98531,2.0,71.479,12.3833955,9.959910393,High,True,False,False,9.21612215620191,0.03612288799999994
Japan,JPN,12,2.0998278864254867,9.683333333333334,12.747260888333336,22.84219471666667,2010,2021,1.2674296571428572,1.5072828761904762,1.2331832,1.3500875523809523,32.3,0.925,23.0,23.0,47774.60973,10.0,84.712,15.51198006,12.68404671,Very_High,False,False,False,10.774270531559738,1.172372432857143
Jordan,JOR,4,-5.996822200289874,2.9625000000000004,31.818856717499997,14.156840325,2002,2017,-0.0862187119047619,0.1359396666666666,0.1240633904761904,0.1337331476190476,34.3,0.754,100.0,100.0,9221.872358,22.0,77.814,13.1090498,10.23999977,High,True,False,False,9.129441803608346,-0.06500890877619046
Kazakhstan,KAZ,19,-4.900865800287017,2.601578947368421,31.706553911052634,9.378163914736842,2001,2021,-0.5534869492063493,-0.5481848476190476,-0.8873828857142857,-0.7013205476190476,29.83809523809524,0.837,60.0,59.0,30988.52844,-4.0,74.402,14.0086174,12.54717423,Very_High,False,False,False,10.341404634144563,-0.46326857648571435
Kenya,KEN,2,-2.473340499587766,5.37,36.062318805,7.483433965000001,2005,2015,-0.7049070317460316,-0.5464606285714285,-0.9097507666666668,-0.7386734428571428,40.525,0.628,143.0,143.0,5608.296066,3.0,63.646,11.47407573,8.624710083,Medium,False,False,True,8.632180512212292,-0.4426816159365079
"Korea, Rep.",KOR,16,2.1002160040082214,11.69375,39.703631879375,10.784102409375,2003,2018,0.8197874071428571,1.1762464666666668,0.4829629523809524,0.9691720333333332,32.85454545454545,0.937,20.0,19.0,49726.45327,11.0,84.329,16.6186409,12.72219869,Very_High,False,False,False,10.814312439257293,0.7681408004928572
Kyrgyz Republic,KGZ,13,-6.906787714737238,3.7584615384615385,47.34549507538462,9.038923263076924,2000,2020,-0.7707619777777777,-0.7566231380952381,-1.169120157142857,-0.9016656285714284,29.977272727272727,0.72,117.0,118.0,6078.117589,24.0,71.677,12.71388245,12.06588858,High,True,False,False,8.712614831039186,-0.5549486239999999
Lao PDR,LAO,4,0.1869682088547315,8.77,43.8440561275,4.5340397975,2002,2019,-0.8875870357142857,-0.7926676857142857,-1.0750082857142855,-1.0225877476190477,35.7,0.617,147.0,147.0,8106.153218,-18.0,68.964,9.605483055,6.06024616,Medium,False,False,True,9.00050206427871,-0.5476412010357142
Latvia,LVA,15,6.478266798292224,15.49,39.843514252,8.747194512666665,2002,2016,0.6598767952380952,0.5632015761904762,0.4094316,0.5905126428571428,35.675,0.889,41.0,43.0,37997.82233,6.0,76.19,16.48265076,13.40943983,Very_High,False,False,False,10.545310446912493,0.5866304709666667
Liberia,LBR,3,3.876128890384499,12.313333333333333,44.57718276666666,3.537707806666667,2007,2016,-0.941860392063492,-1.3075835523809525,-0.817921538095238,-1.0500257333333334,34.96666666666667,0.51,177.0,177.0,1537.85939,9.0,62.163,10.46585369,6.169891955,Low,False,True,False,7.33879676514247,-0.48034879995238094
Lithuania,LTU,6,4.321136162614645,11.660000000000002,27.602575301666665,11.688794295,2000,2008,0.7566481388888889,0.657191038095238,0.4952019095238095,0.6542874666666666,35.29545454545455,0.895,39.0,39.0,41916.46579,2.0,76.025,16.45467949,13.61069239,Very_High,False,False,False,10.643457863684715,0.6772000843055556
Luxembourg,LUX,10,0.2101109727680676,3.749,10.286751652,11.070829392,2010,2021,1.748369461904762,1.9158700523809524,2.0620800523809524,1.7556425714285713,32.0,0.922,25.0,22.0,85461.24833,-19.0,82.229,14.35795021,12.58937195,Very_High,False,False,False,11.355830017417363,1.6119966438761908
Madagascar,MDG,3,-7.439779619374416,1.5733333333333333,33.88873545,12.895732563333333,2005,2012,-0.5796609563492062,-0.770863238095238,-0.4974296523809524,-0.6481304238095238,41.82,0.487,183.0,183.0,1655.764683,0.0,63.632,9.062584503,4.592520237,Low,False,True,False,7.41262199346113,-0.2822948857420634
Malawi,MWI,4,0.8146362755432002,2.87,9.796952245,6.4660167675,2004,2019,-0.4504661849206349,-0.7080963714285714,-0.6703021761904762,-0.262424038095238,42.15,0.517,172.0,173.0,1633.692615,12.0,67.353,9.902591705,5.243740082,Low,False,True,False,7.39921006259846,-0.23289101760396824
Malaysia,MYS,3,-6.257552920858931,1.5266666666666666,35.22673289,7.867826460000001,2013,2019,0.2768256380952381,0.8479389571428572,0.1529024857142857,0.2360508333333333,43.075,0.819,67.0,68.0,32553.09108,-13.0,76.657,12.67639256,11.09000015,Very_High,False,False,False,10.390658325760395,0.22672019759999998
Maldives,MDV,3,2.0513492047408035,12.476666666666665,37.58412552,15.032006583333333,2004,2016,-0.2071817976190476,0.0397207714285714,-0.5258823095238094,-0.4034981238095237,35.075,0.766,93.0,91.0,19317.31882,-11.0,81.041,12.76840687,7.410372866,High,True,False,False,9.868809086381914,-0.15870125697619045
Mali,MLI,10,-5.676175937940913,2.496,41.728272058,4.636736463,2006,2021,-0.606672188888889,-0.9632873857142856,-0.6466956523809524,-0.5308731571428571,36.7,0.419,188.0,188.0,2341.588118,-10.0,60.439,7.011331533,1.629999995,Low,False,True,False,7.759011630480846,-0.2541956471444445
Malta,MLT,2,6.770335566672252,16.07,35.100940705,13.00744104,2008,2015,1.0780491507936507,0.9737617428571428,0.8492039619047619,1.2582461904761904,29.50625,0.924,24.0,26.0,52155.07487,5.0,83.299,15.90985012,12.4207021,Very_High,False,False,False,10.86199594204352,0.9961174153333333
Mauritania,MRT,2,-0.52809815051108,11.1,59.053863525,4.10092735,2004,2014,-0.7107721698412699,-0.7060270476190477,-0.7079974285714286,-0.8379847047619048,35.9,0.563,163.0,163.0,6267.470808,-23.0,68.484,7.949540636,4.852025862,Medium,False,False,True,8.743287713609766,-0.40016473162063493
Mauritius,MUS,3,-4.980771248111875,6.243333333333333,50.64103825666666,8.60862017,2006,2017,0.7535127833333334,0.7909293333333333,0.3677251666666666,0.9113157952380952,37.0,0.806,73.0,75.0,27279.96011,-9.0,74.926,14.16282114,10.10332754,Very_High,False,False,False,10.213944305986175,0.6073313033666667
Mexico,MEX,7,-7.165958942963085,2.87,42.29443141285714,10.456084524285714,2008,2020,-0.237474911111111,-0.0182757857142857,-0.5594777142857142,-0.5576006238095237,49.11666666666667,0.789,81.0,84.0,21812.65566,-8.0,75.069,14.46811008,9.349510934,High,True,False,False,9.990291459088589,-0.18736770486666657
Moldova,MDA,22,3.136694845772257,13.84681818181818,42.771531451818184,12.37154834909091,2000,2021,-0.395302315079365,-0.5829844714285715,-0.8433398857142856,-0.3589710571428571,31.027272727272727,0.785,86.0,82.0,15866.54207,11.0,71.198,14.63856847,11.82999992,High,True,False,False,9.672030922508448,-0.3103123173373015
Mongolia,MNG,10,-2.0239321450807664,5.181,32.333639717,7.949949027,2002,2021,-0.0753197404761904,-0.4731120238095238,-0.5307752571428571,-0.1574558095238095,33.3125,0.747,104.0,105.0,14787.08237,-4.0,71.734,13.6376543,9.420000076,High,True,False,False,9.601576890097812,-0.05626384613571423
Montenegro,MNE,5,-0.4227734437766054,9.07,38.726657868,11.128071976,2011,2015,0.0612960756448412,0.01418458125,-0.2064629761904761,0.0261269047619047,34.61176470588235,0.862,48.0,48.0,28026.3304,14.0,77.087,15.53652954,12.77392572,Very_High,False,False,False,10.240935398809725,0.05283721720585311
Morocco,MAR,4,3.018542103732581,13.775,52.7099657075,5.609845637499999,2000,2019,-0.3549198952380952,-0.2322267571428571,-0.386536019047619,-0.3296119809523809,40.26666666666667,0.71,120.0,122.0,8652.880859,5.0,75.313,15.07499027,6.198,High,True,False,False,9.065763153530368,-0.2519931256190476
Mozambique,MOZ,4,-1.0754260776136944,1.8025,14.83006978,5.7056599875,2002,2019,-0.579762423015873,-0.6764776904761904,-0.7116303142857143,-0.7803565904761904,49.275,0.493,182.0,182.0,1355.767076,7.0,63.611,10.84830885,4.590489864,Low,False,True,False,7.212859998823405,-0.28582287454682537
Myanmar,MMR,2,-1.309461324868165,13.265,73.068683625,4.170358895,2015,2017,-1.4360850626984127,-1.4530467904761903,-1.2136983714285714,-1.4628903666666666,34.4,0.609,150.0,149.0,4918.810577,3.0,66.889,11.50456047,6.380000114,Medium,False,False,True,8.50102530813543,-0.8745758031833334
Namibia,NAM,2,-2.1513856087040546,1.37,7.543648005,12.921407225,2009,2015,0.3392272682539682,0.2634442904761904,0.3435559523809524,0.2553609380952381,61.13333333333333,0.665,136.0,137.0,10916.60872,-20.0,67.385,11.78505588,7.273146745,Medium,False,False,True,9.298132243633924,0.22558613338888886
Nepal,NPL,5,-1.6444275174908565,10.196000000000002,58.453132630000006,5.22682438,2003,2016,-0.7911279396825397,-0.9494656952380952,-0.7564447619047618,-0.625882880952381,38.3,0.622,145.0,150.0,4725.930613,10.0,70.354,13.75430393,4.50372982,Medium,False,False,True,8.461031351819413,-0.4920815784825397
Nicaragua,NIC,3,8.301474255365774,18.953333333333333,38.010375976666666,15.490605673333334,2001,2014,-0.6783028293650792,-0.8821555428571428,-0.9161746190476192,-0.8779972761904761,47.95,0.706,123.0,124.0,6881.479609,11.0,74.947,11.51021957,9.933019638,High,True,False,False,8.836734274280808,-0.4788817975317459
Niger,NER,3,-6.336965904342557,5.63,52.681032816666665,9.665480296666669,2005,2018,-0.6474525753968253,-0.7463455809523809,-0.6158096904761904,-0.6466812380952381,36.28333333333333,0.419,188.0,189.0,1590.18796,-3.0,61.183,8.308919801,1.412289341,Low,False,True,False,7.3722361608947455,-0.2712826290912698
