Country Name,che,oop_share,gov_share,predicted_che,residuals
Malta,16.07,31.6114339825,13.956571816666665,8.46969200368753,7.60030799631247
Myanmar,13.265,76.33321571375,2.3705013633333336,14.398636925288486,-1.133636925288485
Montenegro,8.124545454545455,36.818118756153844,12.276414430769231,9.078969477207256,-0.9544240226618008
Mongolia,5.181,31.47251168916667,8.492766877083334,7.1065746511701215,-1.9255746511701215
Mozambique,1.8025,13.157350917500002,5.921561619583333,2.889671234828264,-1.0871712348282638
Mauritania,11.1,60.01508172333333,4.607648510833333,11.74862622339738,-0.6486262233973807
Mauritius,6.243333333333333,48.865040460833335,8.27072211125,10.459769593931432,-4.2164362605980985
Malawi,2.87,11.57564453208333,6.555367309583333,2.7347541929300405,0.1352458070699596
Malaysia,1.5266666666666666,35.197447617916666,6.93785677375,7.456175905127048,-5.929509238460382
Namibia,1.37,7.343871990833333,16.012184502083333,4.217871324921008,-2.847871324921008
Niger,5.63,53.28682200041667,8.256579796666665,11.322612147641689,-5.692612147641689
Nigeria,19.561666666666667,71.48406378375,4.170364160416667,13.888674036402543,5.672992630264124
Nicaragua,18.953333333333333,37.680992365,15.715679645833333,10.088920988927239,8.864412344406094
Nepal,10.196000000000002,55.85764519375001,5.419017652083333,11.132495181086382,-0.9364951810863804
Pakistan,4.28875,60.79349597291667,4.23040292625,11.808893950742137,-7.520143950742137
Panama,6.132499999999999,33.84883896541667,19.53230683,10.271303823603919,-4.1388038236039195
Peru,10.20125,34.57372673333334,13.305036266666667,8.890753864523287,1.310496135476713
Philippines,4.516666666666667,50.50079345791667,7.065262932083333,10.485505999760065,-5.968839333093398
Poland,13.933636363636362,23.6288492584,10.061105688333333,5.953329875432105,7.980306488204257
Portugal,18.38,27.193354720000002,13.352722365833335,7.456475816300688,10.92352418369931
Paraguay,9.885,48.55119768708334,15.023933291250001,12.049442553123262,-2.164442553123262
West Bank and Gaza,7.804285714285713,39.49718348166667,9.420837719583334,8.905654261163612,-1.1013685468778984
Qatar,1.3,13.937239428749999,6.553226917916667,3.196906480094913,-1.896906480094913
Romania,10.488666666666665,20.11410717125,11.196524024583333,5.542343355058154,4.946323311608511
Russian Federation,3.9608333333333334,33.23439621875,10.119915644166667,7.849594888326235,-3.888761554992902
Rwanda,3.3925,13.86597071,7.525260239583333,3.4206058787373106,-0.02810587873731052
