Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,GGHE_pct,DEA_Efficiency
Poland,POL,2004,783.504642444952,12.74,87.26,9.10989761,0.13982170212338935
West Bank and Gaza,PSE,2004,304.624445897564,7.91,92.09,7.39701176,0.21944541795386663
Romania,ROU,2004,490.854630694608,9.62,90.38,11.96030045,0.1359219757796387
Russian Federation,RUS,2004,517.623550729638,2.44,97.56,9.44207001,0.1512399321475545
Serbia,SRB,2004,664.98300282741,8.57,91.43,13.70559883,0.10994076653913383
Slovak Republic,SVK,2004,970.308366603134,5.28,94.72,13.11000252,0.09715950763981987
Thailand,THA,2004,299.621550631869,3.83,96.17,10.7134676,0.17685676237687636
Turkiye,TUR,2004,526.652459743728,5.57,94.43,10.18661499,0.14345803158813691
Ukraine,UKR,2004,395.913880548956,10.33,89.67,8.1810751,0.1844073996511393
United States,USA,2004,6071.84414824311,5.58,94.42,17.92694855,0.07105288367662496
Viet Nam,VNM,2004,157.804286595422,15.91,84.09,8.6892519,0.24660151667921817
Zambia,ZMB,2004,113.031216336957,2.79,97.21,5.65226936,0.38288697264356447
Albania,ALB,2005,328.991135915059,19.51,80.49,9.30094719,0.1859002962226131
Armenia,ARM,2005,317.313182370138,12.04,87.96000000000001,7.44000816,0.2148564880755317
Azerbaijan,AZE,2005,146.717465138052,8.12,91.88,3.95949173,0.4285931235228964
Bangladesh,BGD,2005,41.5811443703718,12.34,87.66,4.38883734,0.5552977774183794
Bulgaria,BGR,2005,706.363755559382,10.34,89.66,11.16988087,0.11792850908025967
Bahrain,BHR,2005,1467.96388028201,3.23,96.77,9.13842487,0.13938522317796243
Belarus,BLR,2005,604.64415090204,2.35,97.65,10.05169773,0.1351736365623072
Canada,CAN,2005,3262.43880505192,3.7,96.3,17.13103867,0.07435400821496109
Czechia,CZE,2005,1402.73724293634,0.94,99.06,12.75457001,0.27224206197640965
Estonia,EST,2005,878.235843087226,10.79,89.21000000000001,11.57533646,0.11004098191025721
Gabon,GAB,2005,404.735291547992,5.67,94.33,5.07680273,0.2508983424691783
United Kingdom,GBR,2005,2742.26924220039,2.03,97.97,17.72014999,0.10071565148854275
Georgia,GEO,2005,418.119640413477,15.04,84.96000000000001,5.57707214,0.22839248946849772
Ghana,GHA,2005,107.10340128819,3.11,96.89,13.63450813,0.2613098560400501
Hungary,HUN,2005,1364.59936227295,10.62,89.38,11.35830498,0.11214361581616912
Indonesia,IDN,2005,168.920594088728,2.14,97.86,4.2081809,0.3991676847480891
"Iran, Islamic Rep.",IRN,2005,719.539663197571,11.31,88.69,9.00558662,0.141441245723091
Israel,ISR,2005,1822.04175177104,12.7,87.3,9.57161617,0.13307693992079453
Kazakhstan,KAZ,2005,516.04855836536,1.7,98.3,11.53032875,0.19909506148590414
Kenya,KEN,2005,98.8573699282759,5.55,94.45,6.89238787,0.3283183757181906
Kyrgyz Republic,KGZ,2005,174.893759506111,4.61,95.39,13.06986713,0.1777501455002918
"Korea, Rep.",KOR,2005,1226.39808628021,9.59,90.41,8.8823719,0.14340329411336644
Sri Lanka,LKA,2005,220.283518609559,6.28,93.72,10.13588715,0.20140306547206446
Latvia,LVA,2005,807.581992358066,12.48,87.52,9.33693027,0.136421859558345
Moldova,MDA,2005,314.521027376197,10.75,89.25,13.57666016,0.1475596138071698
Madagascar,MDG,2005,70.020143377452,0.21,99.79,10.54040527,0.564535327482173
North Macedonia,MKD,2005,587.454313016582,7.06,92.94,13.46777534,0.11751140236829061
Niger,NER,2005,52.0516021208594,3.74,96.26,12.34742451,0.36663685879068375
Poland,POL,2005,806.794338027663,14.61,85.39,8.9949913,0.14160785124939446
West Bank and Gaza,PSE,2005,330.048956955114,6.25,93.75,8.14653969,0.20066716244384858
Romania,ROU,2005,529.231123306773,10.06,89.94,13.16346741,0.12459685342228743
Rwanda,RWA,2005,70.5974462238243,2.35,97.65,8.09271908,0.4534280588313015
Senegal,SEN,2005,86.3619946665707,1.38,98.62,8.54413509,0.438636925386549
Serbia,SRB,2005,759.03666897031,10.83,89.17,13.61884022,0.10335073007744046
Slovak Republic,SVK,2005,1096.34465541369,5.1,94.9,12.70239162,0.10027728856937897
Trinidad and Tobago,TTO,2005,1011.01113708389,2.58,97.42,8.02571201,0.15871007935656
Tunisia,TUN,2005,415.488201597353,21.91,78.09,11.35010338,0.15025631117398058
Turkiye,TUR,2005,575.372111403113,5.11,94.89,10.3244648,0.1363349437709232
Uganda,UGA,2005,74.2251793934364,20.3,79.7,7.13526297,0.33661763066395506
Ukraine,UKR,2005,436.569430634796,8.2,91.8,8.43188095,0.17318851013961198
Uruguay,URY,2005,1036.10679738419,4.54,95.46,13.28085995,0.09590955666993556
United States,USA,2005,6428.60205272132,5.67,94.33,17.94141579,0.07099558947348789
"Yemen, Rep.",YEM,2005,162.079144385695,15.4,84.6,4.50115108,0.38141091911238156
South Africa,ZAF,2005,716.452186733678,1.75,98.25,10.91880608,0.20315564650964243
Armenia,ARM,2006,371.503625829309,10.83,89.17,7.93185902,0.19314506071186666
Burundi,BDI,2006,50.4960159826945,12.46,87.53999999999999,6.48141956,0.39117449168862806
Belarus,BLR,2006,633.415825062601,2.86,97.14,8.44287395,0.15086822301782662
Canada,CAN,2006,3536.91768422493,4.0,96.0,16.78170395,0.07590179124808077
Switzerland,CHE,2006,4436.50621101903,9.11,90.89,9.34170818,0.13635208523501427
Chile,CHL,2006,941.869297803874,9.19,90.81,13.40539932,0.09501853392010684
Czechia,CZE,2006,1476.81127694482,0.92,99.08,12.71145344,0.2756015444606431
Spain,ESP,2006,2441.96995138065,5.42,94.58,14.68880463,0.08671647707795786
Finland,FIN,2006,2854.29498099062,7.12,92.88,13.57497311,0.0938315958108
Georgia,GEO,2006,448.921563598531,16.29,83.71000000000001,5.23038626,0.24353103703664072
Hungary,HUN,2006,1429.15092740082,10.09,89.91,10.65500927,0.11954577961620101
Indonesia,IDN,2006,187.56033863635,1.82,98.18,4.51137447,0.4676705420780554
India,IND,2006,118.165322607228,16.84,83.16,2.88599753,0.5638656548387737
Iraq,IRQ,2006,254.9340314096,3.29,96.71,3.0470798,0.4180269220386013
Israel,ISR,2006,1820.61273784922,11.28,88.72,9.85081196,0.12930521820660065
Kyrgyz Republic,KGZ,2006,205.963879149226,3.96,96.04,14.45895767,0.16164815761321663
Kiribati,KIR,2006,195.145513519676,0.0,100.0,11.40626049,0.9999999999999389
"Korea, Rep.",KOR,2006,1398.63571125546,10.78,89.22,9.59643841,0.13273272182653392
Sri Lanka,LKA,2006,241.048458495878,5.55,94.45,9.56101894,0.2041085229607406
Latvia,LVA,2006,900.809029595684,10.91,89.09,9.62257767,0.13237215990172363
Morocco,MAR,2006,261.33224457844,22.0,78.0,5.01113462,0.29038227850473797
Moldova,MDA,2006,375.941456963825,15.06,84.94,12.89050865,0.14417380144471229
North Macedonia,MKD,2006,626.553264317525,7.84,92.16,13.40144539,0.11441177248231148
Mali,MLI,2006,82.2214126791613,3.38,96.62,5.54588985,0.43996920918398386
Mauritius,MUS,2006,443.192419813241,4.94,95.06,7.30248404,0.1843985081149855
Peru,PER,2006,313.753413329789,10.74,89.26,11.56533909,0.16473669718067507
Philippines,PHL,2006,172.966556900955,4.39,95.61,6.63096142,0.2910811020593135
Poland,POL,2006,878.891553239223,13.82,86.18,9.0035038,0.14147396594645742
West Bank and Gaza,PSE,2006,313.988631981815,7.15,92.85,6.95828247,0.2239817751588885
Romania,ROU,2006,584.294952842328,10.62,89.38,11.28106403,0.12942504017084286
Serbia,SRB,2006,865.523312455179,10.28,89.72,12.53220367,0.10163905914242118
Slovak Republic,SVK,2006,1295.77939892026,3.76,96.24,12.50330448,0.10187397995765671
Seychelles,SYC,2006,667.073607342364,0.07,99.93,7.90729713,0.9876239597383498
Togo,TGO,2006,57.924800034909,10.65,89.35,3.83191919,0.5839083482836566
