Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,OOP_pct,DEA_Efficiency
Slovenia,SVN,2007,2079.35415446143,2.63,97.37,13.63123608,0.08534289080634293
Syrian Arab Republic,SYR,2007,205.521887831326,6.88,93.12,51.68701553,0.1946847628085863
Thailand,THA,2007,374.292196480279,3.14,96.86,14.81379414,0.320612063331629
Tajikistan,TJK,2007,108.730947290951,6.46,93.54,70.61388397,0.26703268345655995
Timor-Leste,TLS,2007,85.6384888858452,2.36,97.64,18.25991249,0.5185134888015943
Turkiye,TUR,2007,772.124718326201,5.14,94.86,23.88428879,0.1698117694026605
Tanzania,TZA,2007,121.511256918191,2.24,97.76,28.474226,0.3394368936303088
Ukraine,UKR,2007,515.896755347899,9.07,90.93,36.4568634,0.17827103086969737
Angola,AGO,2008,221.018857513397,12.26,87.74,21.6532383,0.34527896814213416
Albania,ALB,2008,446.390677735541,13.91,86.09,56.23107147,0.14554806216432276
Armenia,ARM,2008,542.033589305765,8.26,91.74,71.43701172,0.1162699480015727
Belarus,BLR,2008,759.896155071899,4.06,95.94,29.83945274,0.15840171529814884
Brazil,BRA,2008,1077.13686756609,15.07,84.93,30.88409233,0.12474751205120609
Central African Republic,CAF,2008,32.8893014008349,6.75,93.25,57.97245407,0.561980642885528
Canada,CAN,2008,3850.42762549652,4.3,95.7,15.50515175,0.04784187827369767
Switzerland,CHE,2008,5132.87084124926,6.9,93.1,26.49785995,0.03528559164847444
Cote d'Ivoire,CIV,2008,127.226094166407,17.44,82.56,65.54959869,0.2504068560187094
Colombia,COL,2008,698.00166072678,20.01,79.99,20.85275078,0.18999858173076797
Czechia,CZE,2008,1777.90515369627,1.96,98.04,16.13297081,0.09629657480162991
"Egypt, Arab Rep.",EGY,2008,384.65691893663,12.57,87.43,61.82380295,0.1425982777816446
Spain,ESP,2008,2828.64095120369,5.84,94.16,21.78303528,0.061711366267781696
Fiji,FJI,2008,251.365178279479,0.78,99.22,16.50561142,0.38017192978884673
Georgia,GEO,2008,607.99154245463,22.12,77.88,66.54589081,0.11713148051846088
Grenada,GRD,2008,592.486456865113,3.17,96.83,55.20097733,0.13277669490605004
Croatia,HRV,2008,1603.33224521352,2.27,97.73,14.51390839,0.10681405217292207
"Iran, Islamic Rep.",IRN,2008,825.853896161973,12.6,87.4,55.47851181,0.11436174909430441
Israel,ISR,2008,1972.62167521108,11.04,88.96000000000001,25.34702873,0.08243780467392112
Jordan,JOR,2008,762.560761124852,1.72,98.28,31.94139099,0.15388441107773557
Kazakhstan,KAZ,2008,522.794475411084,3.65,96.35,23.87804604,0.21659577122217136
Kyrgyz Republic,KGZ,2008,196.927856024391,3.67,96.33,48.67649078,0.204299991047928
"Korea, Rep.",KOR,2008,1661.10742127808,11.1,88.9,41.62781525,0.08423212862565173
Lithuania,LTU,2008,1298.46141307335,12.85,87.15,28.17394638,0.11206466672742367
