Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,OOP_pct
Thailand,THA,2006,0.31570244047042345,96.41,338.253744775406,17.65686226
Turkiye,TUR,2006,0.1826948593700224,95.0,694.463456352896,23.6489296
Ukraine,UKR,2006,0.18299338417567057,91.64,492.702278504541,36.13279724
United States,USA,2006,0.027927524896695595,94.58,6802.47531175785,13.67793274
Viet Nam,VNM,2006,0.26162074813362546,85.59,193.640564043264,34.69738388
Zambia,ZMB,2006,0.3602624956790871,98.15,132.630006451562,25.69581223
Afghanistan,AFG,2007,0.25087265048336016,95.16,112.257676068474,78.16998291
Armenia,ARM,2007,0.14603596640101507,91.7,409.876589128493,58.22918701
Bosnia and Herzegovina,BIH,2007,0.1314006461373299,89.75,783.072519407999,44.27066803
Belarus,BLR,2007,0.1722885682625102,96.57,724.905798469884,25.79533768
Bhutan,BTN,2007,0.4559648304782384,96.57,200.374591325424,14.33664703
Canada,CAN,2007,0.049506612863615955,96.0,3710.89179416931,15.61163616
Switzerland,CHE,2007,0.03744036563591872,89.64,4799.64459898341,27.33333206
China,CHN,2007,0.18305053597740312,81.56,249.507331917602,51.29121017
Cameroon,CMR,2007,0.26163226672586853,91.99,106.932220315413,75.56835175
Cabo Verde,CPV,2007,0.3374934176151961,97.95,213.885371355189,22.91623306
Czechia,CZE,2007,0.10901533240546545,98.58,1580.4068099117,13.63102531
Dominican Republic,DOM,2007,0.1707685140440624,82.34,408.435473321699,46.18055725
Spain,ESP,2007,0.06608506941009659,94.6,2616.33450211378,21.9079361
Georgia,GEO,2007,0.11389156978224778,82.26,509.377429745209,75.67359161
Hungary,HUN,2007,0.10923505992831005,88.46000000000001,1374.43367482925,26.2612381
Indonesia,IDN,2007,0.19381957713841538,97.46,217.952233217532,49.54561996
India,IND,2007,0.24499001678964288,87.02,125.625045286917,70.81672668
"Iran, Islamic Rep.",IRN,2007,0.11988151478675091,88.59,783.170073777322,53.21485901
Israel,ISR,2007,0.08266429964357054,87.88,1945.01643137125,26.66324234
Kazakhstan,KAZ,2007,0.20147419527221178,96.71,448.215051223121,32.77426147
Kyrgyz Republic,KGZ,2007,0.2233715117694018,97.36,190.386904926958,42.91151428
St. Kitts and Nevis,KNA,2007,0.10655048840554386,95.87,1021.86425510155,51.09035492
"Korea, Rep.",KOR,2007,0.09052101568564994,88.17,1516.24020907675,40.57471085
Lao PDR,LAO,2007,0.34556500641540355,89.88,106.445277999075,35.17124939
Liberia,LBR,2007,0.5008549548081505,92.14,52.6807179584917,42.22309875
Latvia,LVA,2007,0.12318694231896057,84.63,1001.82521819784,36.82770538
Moldova,MDA,2007,0.17212646332002762,85.55,416.696585079543,45.09947968
Pakistan,PAK,2007,0.2836127078354398,97.29,96.3473914159621,71.69874573
Panama,PAN,2007,0.13283108465328544,96.69,996.273372500364,29.96040154
Poland,POL,2007,0.13925222531940593,85.82,986.993088290802,26.29073715
West Bank and Gaza,PSE,2007,0.2189365358560325,90.61,298.075140046378,37.29999924
Romania,ROU,2007,0.2038295355267305,89.43,680.145225085951,17.59607506
Serbia,SRB,2007,0.12197545394682847,88.59,1051.51854596173,34.712883
Slovak Republic,SVK,2007,0.09992302624403042,96.26,1523.9607583405,27.370327
Slovenia,SVN,2007,0.08534289080634293,97.37,2079.35415446143,13.63123608
Syrian Arab Republic,SYR,2007,0.1946847628085863,93.12,205.521887831326,51.68701553
Thailand,THA,2007,0.320612063331629,96.86,374.292196480279,14.81379414
Tajikistan,TJK,2007,0.26703268345655995,93.54,108.730947290951,70.61388397
Timor-Leste,TLS,2007,0.5185134888015943,97.64,85.6384888858452,18.25991249
Turkiye,TUR,2007,0.1698117694026605,94.86,772.124718326201,23.88428879
Tanzania,TZA,2007,0.3394368936303088,97.76,121.511256918191,28.474226
Ukraine,UKR,2007,0.17827103086969737,90.93,515.896755347899,36.4568634
Angola,AGO,2008,0.34527896814213416,87.74,221.018857513397,21.6532383
Albania,ALB,2008,0.14554806216432276,86.09,446.390677735541,56.23107147
Armenia,ARM,2008,0.1162699480015727,91.74,542.033589305765,71.43701172
Belarus,BLR,2008,0.15840171529814884,95.94,759.896155071899,29.83945274
Brazil,BRA,2008,0.12474751205120609,84.93,1077.13686756609,30.88409233
Central African Republic,CAF,2008,0.561980642885528,93.25,32.8893014008349,57.97245407
Canada,CAN,2008,0.04784187827369767,95.7,3850.42762549652,15.50515175
Switzerland,CHE,2008,0.03528559164847444,93.1,5132.87084124926,26.49785995
Cote d'Ivoire,CIV,2008,0.2504068560187094,82.56,127.226094166407,65.54959869
Colombia,COL,2008,0.18999858173076797,79.99,698.00166072678,20.85275078
Czechia,CZE,2008,0.09629657480162991,98.04,1777.90515369627,16.13297081
"Egypt, Arab Rep.",EGY,2008,0.1425982777816446,87.43,384.65691893663,61.82380295
Spain,ESP,2008,0.061711366267781696,94.16,2828.64095120369,21.78303528
Fiji,FJI,2008,0.38017192978884673,99.22,251.365178279479,16.50561142
Georgia,GEO,2008,0.11713148051846088,77.88,607.99154245463,66.54589081
