iso3,country,year,income_group,fpe_score,phi,peers
VNM,Viet Nam,2014,LM,1.0000000000000002,0.9999999999999999,VNM
BLR,Belarus,2014,UM,0.9457548665064586,1.0573564413090661,"KAZ,ZAF"
KAZ,Kazakhstan,2014,UM,1.0,1.0,KAZ
MEX,Mexico,2014,UM,0.9850973295341255,1.0151281198507789,"KAZ,ZAF"
MNE,Montenegro,2014,UM,0.920885116702031,1.085911784068466,ZAF
MNG,Mongolia,2014,UM,1.0,1.0,MNG
PER,Peru,2014,UM,0.9321307318268119,1.0728108899919824,"KAZ,MNG"
ZAF,South Africa,2014,UM,1.0,1.0,ZAF
CAN,Canada,2014,H,1.0000000000000002,0.9999999999999998,CAN
LVA,Latvia,2014,H,1.0000000000000366,0.9999999999999634,LVA
POL,Poland,2014,H,1.0,1.0,POL
RUS,Russian Federation,2014,H,1.0000000000000007,0.9999999999999994,RUS
TTO,Trinidad and Tobago,2014,H,0.9999999999999998,1.0000000000000002,TTO
ARM,Armenia,2015,LM,0.7778780585639791,1.2855485368054662,ZMB
IDN,Indonesia,2015,LM,0.9666064981949457,1.0345471521942111,ZMB
KEN,Kenya,2015,LM,0.9507621339751304,1.0517877860985128,ZMB
MMR,Myanmar,2015,LM,0.8642198154833535,1.1571130192620096,ZMB
PHL,Philippines,2015,LM,0.9395306859205776,1.0643611911623438,ZMB
SLV,El Salvador,2015,LM,0.9797432811873245,1.020675537359263,ZMB
TUN,Tunisia,2015,LM,0.8349378259125552,1.197693970694211,ZMB
UKR,Ukraine,2015,LM,0.9313076614520659,1.0737590179821255,ZMB
ZMB,Zambia,2015,LM,1.0,1.0,ZMB
BIH,Bosnia and Herzegovina,2015,UM,0.9323720552396424,1.0725332171640167,NAM
BLR,Belarus,2015,UM,0.9309504467912266,1.074171029668412,NAM
BWA,Botswana,2015,UM,1.0,1.0,BWA
GEO,Georgia,2015,UM,0.7203626037458604,1.3881897738722624,"KAZ,NAM"
KAZ,Kazakhstan,2015,UM,0.9999999999999998,1.0000000000000002,KAZ
MNE,Montenegro,2015,UM,0.9111494719740048,1.0975147665217877,NAM
NAM,Namibia,2015,UM,0.9999999999999998,1.0000000000000002,NAM
PER,Peru,2015,UM,1.0,1.0,PER
SRB,Serbia,2015,UM,0.9336921202274572,1.0710168569874934,NAM
CAN,Canada,2015,H,1.0,1.0,CAN
CYP,Cyprus,2015,H,0.9640446736241719,1.037296328022497,"CAN,HUN"
HUN,Hungary,2015,H,1.0,1.0,HUN
LVA,Latvia,2015,H,1.0,1.0,LVA
MLT,Malta,2015,H,0.9103481893179071,1.098480792002526,"CAN,HUN"
POL,Poland,2015,H,1.0,1.0,POL
ARM,Armenia,2016,LM,0.8179791223269485,1.2225250898277784,GHA
GEO,Georgia,2016,LM,0.7019357454140063,1.4246318221195495,GHA
GHA,Ghana,2016,LM,1.0,1.0,GHA
IDN,Indonesia,2016,LM,0.9697983176244046,1.0311422301180897,GHA
MNG,Mongolia,2016,LM,0.9719637702716201,1.0288449328934812,"GHA,SWZ"
SLV,El Salvador,2016,LM,0.968162314393173,1.0328846569769474,"GHA,SWZ"
SWZ,Eswatini,2016,LM,1.0,1.0,SWZ
TJK,Tajikistan,2016,LM,0.9207459207459208,1.0860759493670886,GHA
UKR,Ukraine,2016,LM,0.9229755751494881,1.0834522894476777,GHA
VNM,Viet Nam,2016,LM,0.9183135704874836,1.0889526542324246,GHA
BLR,Belarus,2016,UM,0.9570039928581572,1.0449277196988827,"COL,MEX,PER"
COL,Colombia,2016,UM,1.0,1.0,COL
MEX,Mexico,2016,UM,1.0000000000000002,0.9999999999999998,MEX
PER,Peru,2016,UM,0.9999999999999998,1.0000000000000002,PER
ROU,Romania,2016,UM,0.9295921650880955,1.0757405640410407,"COL,MEX"
BRB,Barbados,2016,H,0.9999999999999998,1.0000000000000002,BRB
CAN,Canada,2016,H,1.0,1.0,CAN
GRC,Greece,2016,H,0.8490141996118092,1.1778366020936109,URY
HUN,Hungary,2016,H,0.9019881809282532,1.1086619771124728,"BRB,URY"
LVA,Latvia,2016,H,0.8523865156503228,1.1731767005218947,"BRB,URY"
