Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,WB_Region,Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,"Region_Middle East, North Africa, Afghanistan & Pakistan",Region_North America,Region_South Asia
Jordan,JOR,4,-5.996822200289874,2.9625000000000004,31.818856717499997,14.156840325,2002,2017,-0.0862187119047619,0.1359396666666666,0.1240633904761904,0.1337331476190476,34.3,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Kazakhstan,KAZ,19,-4.900865800287017,2.601578947368421,31.706553911052634,9.378163914736842,2001,2021,-0.5534869492063493,-0.5481848476190476,-0.8873828857142857,-0.7013205476190476,29.83809523809524,Europe & Central Asia,False,True,False,False,False,False
Kenya,KEN,2,-2.473340499587766,5.37,36.062318805,7.483433965000001,2005,2015,-0.7049070317460316,-0.5464606285714285,-0.9097507666666668,-0.7386734428571428,40.525,Sub-Saharan Africa,False,False,False,False,False,False
"Korea, Rep.",KOR,16,2.1002160040082214,11.69375,39.703631879375,10.784102409375,2003,2018,0.8197874071428571,1.1762464666666668,0.4829629523809524,0.9691720333333332,32.85454545454545,East Asia & Pacific,True,False,False,False,False,False
Kyrgyz Republic,KGZ,13,-6.906787714737238,3.7584615384615385,47.34549507538462,9.038923263076923,2000,2020,-0.7707619777777777,-0.7566231380952381,-1.169120157142857,-0.9016656285714284,29.977272727272727,Europe & Central Asia,False,True,False,False,False,False
Lao PDR,LAO,4,0.18696820885473153,8.77,43.8440561275,4.5340397975,2002,2019,-0.8875870357142857,-0.7926676857142857,-1.0750082857142855,-1.0225877476190477,35.7,East Asia & Pacific,True,False,False,False,False,False
Latvia,LVA,15,6.478266798292224,15.49,39.843514252,8.747194512666665,2002,2016,0.6598767952380952,0.5632015761904762,0.4094316,0.5905126428571428,35.675,Europe & Central Asia,False,True,False,False,False,False
Liberia,LBR,3,3.8761288903844995,12.313333333333333,44.57718276666666,3.537707806666667,2007,2016,-0.941860392063492,-1.3075835523809525,-0.817921538095238,-1.0500257333333334,34.96666666666667,Sub-Saharan Africa,False,False,False,False,False,False
Lithuania,LTU,6,4.321136162614645,11.660000000000002,27.602575301666665,11.688794295,2000,2008,0.7566481388888889,0.657191038095238,0.4952019095238095,0.6542874666666666,35.29545454545455,Europe & Central Asia,False,True,False,False,False,False
Luxembourg,LUX,10,0.2101109727680676,3.749,10.286751652,11.070829392,2010,2021,1.748369461904762,1.9158700523809524,2.0620800523809524,1.7556425714285713,32.0,Europe & Central Asia,False,True,False,False,False,False
Madagascar,MDG,3,-7.439779619374416,1.5733333333333333,33.88873545,12.895732563333333,2005,2012,-0.5796609563492062,-0.770863238095238,-0.4974296523809524,-0.6481304238095238,41.82,Sub-Saharan Africa,False,False,False,False,False,False
Malawi,MWI,4,0.8146362755432002,2.87,9.796952245,6.4660167675,2004,2019,-0.4504661849206349,-0.7080963714285714,-0.6703021761904762,-0.262424038095238,42.15,Sub-Saharan Africa,False,False,False,False,False,False
Malaysia,MYS,3,-6.257552920858931,1.5266666666666666,35.22673289,7.867826460000001,2013,2019,0.2768256380952381,0.8479389571428572,0.1529024857142857,0.2360508333333333,43.075,East Asia & Pacific,True,False,False,False,False,False
Maldives,MDV,3,2.0513492047408035,12.476666666666665,37.58412552,15.032006583333333,2004,2016,-0.2071817976190476,0.0397207714285714,-0.5258823095238094,-0.4034981238095237,35.075,South Asia,False,False,False,False,False,True
Mali,MLI,10,-5.676175937940913,2.496,41.728272058,4.636736463,2006,2021,-0.606672188888889,-0.9632873857142856,-0.6466956523809524,-0.5308731571428571,36.7,Sub-Saharan Africa,False,False,False,False,False,False
Malta,MLT,2,6.770335566672252,16.07,35.100940705,13.00744104,2008,2015,1.0780491507936507,0.9737617428571428,0.8492039619047619,1.2582461904761904,29.50625,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Mauritania,MRT,2,-0.52809815051108,11.1,59.053863525,4.10092735,2004,2014,-0.7107721698412699,-0.7060270476190477,-0.7079974285714286,-0.8379847047619048,35.9,Sub-Saharan Africa,False,False,False,False,False,False
