Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,GGHE_pct
Uganda,UGA,2005,0.33661763066395506,79.7,74.2251793934364,7.13526297
Ukraine,UKR,2005,0.17318851013961198,91.8,436.569430634796,8.43188095
Uruguay,URY,2005,0.09590955666993556,95.46,1036.10679738419,13.28085995
United States,USA,2005,0.07099558947348789,94.33,6428.60205272132,17.94141579
"Yemen, Rep.",YEM,2005,0.38141091911238156,84.6,162.079144385695,4.50115108
South Africa,ZAF,2005,0.20315564650964243,98.25,716.452186733678,10.91880608
Armenia,ARM,2006,0.19314506071186666,89.17,371.503625829309,7.93185902
Burundi,BDI,2006,0.39117449168862806,87.53999999999999,50.4960159826945,6.48141956
Belarus,BLR,2006,0.15086822301782662,97.14,633.415825062601,8.44287395
Canada,CAN,2006,0.07590179124808077,96.0,3536.91768422493,16.78170395
Switzerland,CHE,2006,0.13635208523501427,90.89,4436.50621101903,9.34170818
Chile,CHL,2006,0.09501853392010684,90.81,941.869297803874,13.40539932
Czechia,CZE,2006,0.2756015444606431,99.08,1476.81127694482,12.71145344
Spain,ESP,2006,0.08671647707795786,94.58,2441.96995138065,14.68880463
Finland,FIN,2006,0.0938315958108,92.88,2854.29498099062,13.57497311
Georgia,GEO,2006,0.24353103703664072,83.71000000000001,448.921563598531,5.23038626
Hungary,HUN,2006,0.11954577961620101,89.91,1429.15092740082,10.65500927
Indonesia,IDN,2006,0.4676705420780554,98.18,187.56033863635,4.51137447
India,IND,2006,0.5638656548387737,83.16,118.165322607228,2.88599753
Iraq,IRQ,2006,0.4180269220386013,96.71,254.9340314096,3.0470798
Israel,ISR,2006,0.12930521820660065,88.72,1820.61273784922,9.85081196
Kyrgyz Republic,KGZ,2006,0.16164815761321663,96.04,205.963879149226,14.45895767
Kiribati,KIR,2006,0.9999999999999389,100.0,195.145513519676,11.40626049
"Korea, Rep.",KOR,2006,0.13273272182653392,89.22,1398.63571125546,9.59643841
Sri Lanka,LKA,2006,0.2041085229607406,94.45,241.048458495878,9.56101894
Latvia,LVA,2006,0.13237215990172363,89.09,900.809029595684,9.62257767
Morocco,MAR,2006,0.29038227850473797,78.0,261.33224457844,5.01113462
Moldova,MDA,2006,0.14417380144471229,84.94,375.941456963825,12.89050865
North Macedonia,MKD,2006,0.11441177248231148,92.16,626.553264317525,13.40144539
Mali,MLI,2006,0.43996920918398386,96.62,82.2214126791613,5.54588985
Mauritius,MUS,2006,0.1843985081149855,95.06,443.192419813241,7.30248404
Peru,PER,2006,0.16473669718067507,89.26,313.753413329789,11.56533909
Philippines,PHL,2006,0.2910811020593135,95.61,172.966556900955,6.63096142
Poland,POL,2006,0.14147396594645742,86.18,878.891553239223,9.0035038
West Bank and Gaza,PSE,2006,0.2239817751588885,92.85,313.988631981815,6.95828247
Romania,ROU,2006,0.12942504017084286,89.38,584.294952842328,11.28106403
Serbia,SRB,2006,0.10163905914242118,89.72,865.523312455179,12.53220367
Slovak Republic,SVK,2006,0.10187397995765671,96.24,1295.77939892026,12.50330448
Seychelles,SYC,2006,0.9876239597383498,99.93,667.073607342364,7.90729713
Togo,TGO,2006,0.5839083482836566,89.35,57.924800034909,3.83191919
Thailand,THA,2006,0.15719809537458235,96.41,338.253744775406,12.11568642
Turkiye,TUR,2006,0.122120055870401,95.0,694.463456352896,10.55690098
Ukraine,UKR,2006,0.16049527987269152,91.64,492.702278504541,8.69689655
United States,USA,2006,0.06857691916446584,94.58,6802.47531175785,18.57419968
Viet Nam,VNM,2006,0.23176261861303118,85.59,193.640564043264,8.76698685
Zambia,ZMB,2006,0.3523591669022608,98.15,132.630006451562,6.74704027
Afghanistan,AFG,2007,0.6100787726817056,95.16,112.257676068474,2.61078191
Armenia,ARM,2007,0.19340054437613635,91.7,409.876589128493,7.19854879
Bosnia and Herzegovina,BIH,2007,0.11244034959278057,89.75,783.072519407999,11.32833004
Belarus,BLR,2007,0.15677953923688878,96.57,724.905798469884,8.12453842
Bhutan,BTN,2007,0.25969328709726397,96.57,200.374591325424,7.46379232
Canada,CAN,2007,0.07462783035394648,96.0,3710.89179416931,17.06818199
Switzerland,CHE,2007,0.13329402850676805,89.64,4799.64459898341,9.55602741
China,CHN,2007,0.2285575434062359,81.56,249.507331917602,7.90135717
Cameroon,CMR,2007,0.46123839686044976,91.99,106.932220315413,4.22608185
Cabo Verde,CPV,2007,0.21923343050397007,97.95,213.885371355189,10.09019661
Czechia,CZE,2007,0.22003959895429592,98.58,1580.4068099117,12.40300465
Dominican Republic,DOM,2007,0.1599682741896325,82.34,408.435473321699,10.32302856
Spain,ESP,2007,0.08732426418063906,94.6,2616.33450211378,14.58656883
Georgia,GEO,2007,0.32217493246584555,82.26,509.377429745209,3.95363283
Hungary,HUN,2007,0.1300542942800657,88.46000000000001,1374.43367482925,9.79407406
Indonesia,IDN,2007,0.3068718033893567,97.46,217.952233217532,5.43742085
India,IND,2007,0.5594538971188323,87.02,125.625045286917,2.78734279
"Iran, Islamic Rep.",IRN,2007,0.11042870456838888,88.59,783.170073777322,11.53469467
Israel,ISR,2007,0.12889060763532392,87.88,1945.01643137125,9.88249969
Kazakhstan,KAZ,2007,0.18014607435185603,96.71,448.215051223121,7.57602596
