Country Name,che,predicted_che,residuals
St. Lucia,6.17,10.74813820806848,-4.578138208068481
Kazakhstan,2.601578947368421,7.542541102230168,-4.940962154861747
Azerbaijan,7.4275,12.452601635218672,-5.025101635218672
Comoros,8.81,13.84981065919471,-5.039810659194709
Uzbekistan,7.0,12.105361685159169,-5.105361685159169
Guinea-Bissau,5.6000000000000005,10.95192321387643,-5.35192321387643
Jordan,2.9625000000000004,8.320098122418605,-5.3575981224186044
Ghana,1.9733333333333334,7.5077613701705515,-5.534428036837218
Niger,5.63,11.322612147641689,-5.692612147641689
Ethiopia,2.075,7.774353761777448,-5.699353761777448
Indonesia,3.142631578947369,8.966578324997512,-5.823946746050143
Guinea,6.046666666666667,11.88005746574814,-5.833390799081473
Malaysia,1.5266666666666666,7.456175905127048,-5.929509238460382
Philippines,4.516666666666667,10.485505999760065,-5.968839333093398
Guatemala,8.163333333333332,14.210323699935481,-6.046990366602149
Madagascar,1.5733333333333333,7.877993592767043,-6.304660259433709
St. Kitts and Nevis,4.13,10.457534605950226,-6.327534605950226
Kyrgyz Republic,3.7584615384615385,10.195592644298227,-6.437131105836688
Senegal,3.2925,9.88344640492217,-6.590946404922169
Trinidad and Tobago,3.23,10.167320715897853,-6.937320715897853
El Salvador,3.714,10.764649785402673,-7.050649785402673
Mali,2.496,9.821205300934674,-7.325205300934673
Pakistan,4.28875,11.808893950742137,-7.520143950742137
Mexico,2.87,10.438606431910722,-7.568606431910722
Grenada,3.17,11.275258215981845,-8.105258215981845
Honduras,1.14,11.538183576806034,-10.398183576806034
