iso3,year,fpe_score,CHE_pc,OOP_pct,GGHE_pct,CHE_pct_GDP,UHC_index,Impoverishing_incidence,CHE_incidence_10
MUS,2006,1.0,203.24180603,0.0,7.30248404,3.60573649,40.79247010689009,3.9119999999999995,13.04
PER,2006,0.6787139449444056,136.14295959,0.0,11.56533909,4.409585,37.56580366381918,4.851,16.17
PHL,2006,1.0,53.87452698,0.0,6.63096142,3.77762938,33.43833533123636,3.9269999999999996,13.09
POL,2006,0.5617546357763941,524.09747314,0.0,9.0035038,5.78148365,43.155079700669916,13.962,46.54
SRB,2006,0.999999977080977,371.506073,0.0,12.53220367,8.28575706,39.465077564702284,7.14,23.8
TGO,2006,0.9999999999999765,22.74487495,11.085721047637989,3.83191919,4.30967808,28.4615998924354,5.739,19.13
TUR,2006,0.6080693479821396,409.25881958,0.0,10.55690098,5.14591694,42.489722094204694,3.222,10.74
UKR,2006,0.5658974323063007,146.27377319,0.0,8.69689655,6.4171896,36.097846786840336,6.759,22.53
VNM,2006,1.0,46.86905289,0.0,8.76698685,4.56979847,30.454215271590186,10.746,35.82
ZMB,2006,0.9999999999998342,58.68175507,0.0,6.74704027,5.5774231,31.839426675910243,1.137,3.79
AFG,2007,0.9999999981659821,32.70893097,73.6409116514402,2.61078191,9.90467453,26.44693350754592,1.8539999999999999,6.18
ARM,2007,1.0,170.15332031,0.0,7.19854879,5.49814034,37.278009677194596,5.19,17.3
BIH,2007,0.455934323268905,363.86224365,0.0,11.32833004,9.25501442,38.76411285966691,9.141,30.47
BLR,2007,0.9895232923348107,278.63424683,0.0,8.12453842,5.6917243,39.74153479124919,3.366,11.22
BTN,2007,0.700245883376612,64.72015381,0.0,7.46379232,3.83774948,34.80590161956549,1.6409999999999998,5.47
CAN,2007,1.0,4187.87255859,0.0,17.06818199,9.4346962,51.53126767535048,3.3,11.0
CPV,2007,0.9386600149289893,127.73626709,0.0,10.09019661,3.84218621,37.883329946318526,1.5809999999999997,5.27
GEO,2007,0.6949238315826638,195.9908905,46.82531230441457,3.95363283,7.43517828,36.66305401939326,10.83,36.1
HUN,2007,0.46860173577747827,1003.25805664,0.0,9.79407406,7.20719147,45.4117708755841,12.893999999999998,42.98
IDN,2007,1.0,55.99677658,0.0,5.43742085,2.82385564,34.72814670382602,1.8659999999999999,6.22
KAZ,2007,0.9999999999159459,174.33786011,0.0,7.57602596,2.70314813,41.364357844722306,5.2139999999999995,17.38
LVA,2007,0.4699291586093761,775.19146729,0.0,9.7152071,5.81969213,45.194841646132446,10.446,34.82
MDA,2007,1.0,135.44366455,0.0,13.18110943,11.02066803,33.81159418525053,8.88,29.6
PAK,2007,0.9999999999991797,26.14198685,0.0,2.82084775,2.62370729,31.56470406717189,1.104,3.68
POL,2007,0.7850334989749969,660.92468262,0.0,9.54005432,5.86390114,44.2979048612013,14.199,47.33
SRB,2007,0.9999980329773822,547.22723389,0.0,13.55892181,9.01782608,41.05540134120244,8.442,28.14
SYR,2007,1.0,72.10467529,0.0,6.85482645,3.73920178,35.047713461115215,5.757000000000001,19.19
TJK,2007,0.914390868768206,28.58950996,4.336613869324509,5.30023098,5.54050112,28.113258102574573,2.286,7.62
TUR,2007,0.9999999950455224,504.37646484,0.0,10.95228481,5.23760796,43.54467315626649,2.346,7.82
TZA,2007,1.0,36.23610306,0.0,10.88657188,6.88427973,28.372527528466566,1.638,5.46
UKR,2007,0.5762808946134751,183.18217468,0.0,8.16024208,6.01776791,37.617192099785484,6.696,22.32
AGO,2008,1.0,136.34094238,0.0,4.0603714,2.97807598,39.564043516824896,4.008,13.36
ALB,2008,0.9999999999999998,237.10340881,0.0,7.25106478,5.44421673,39.47184464869407,7.836,26.12
ARM,2008,1.0,261.59963989,0.0,6.69246197,6.63976622,38.554459609242684,6.380999999999999,21.27
BLR,2008,1.0,348.92633057,0.0,5.80340672,5.29448891,41.30433792150221,4.935,16.45
CAF,2008,0.9999999999956188,18.02888489,0.0,5.28349304,4.02635765,27.234814916037784,2.475,8.25
CAN,2008,1.0,4454.11621094,0.0,17.28190994,9.59427929,51.7670960433891,4.05,13.5
COL,2008,1.0,379.16812134,0.0,16.6930294,6.84192181,40.567579562691904,8.421,28.07
JOR,2008,1.0,275.17532349,0.0,15.12543488,8.48880577,37.75065007073604,2.655,8.85
KAZ,2008,1.0,245.79397583,0.0,8.41329765,3.02569842,42.57675366519496,5.676,18.92
KGZ,2008,1.0,62.77722549,0.0,10.38534927,6.52511883,31.39527923273456,3.429,11.43
LTU,2008,1.0,936.50933838,0.0,11.67387962,6.29010201,45.78325903963292,11.043000000000001,36.81
LVA,2008,1.0,913.52148438,0.0,8.79956532,5.86603212,46.03099567106929,12.354,41.18
MDA,2008,1.0,185.56115723,0.0,12.7215929,10.94920063,35.49670628813722,8.748,29.16
MEX,2008,0.9999999999946668,573.11114502,0.0,9.43475246,5.44587374,43.93679471885902,2.505,8.35
PER,2008,1.0,191.42611694,0.0,10.98999786,4.53098345,39.108139527014,5.058,16.86
POL,2008,0.9999999999999944,892.59698486,0.0,10.27323627,6.35196781,45.45456224511503,13.854,46.18
ROU,2008,0.999999999999999,521.31561279,0.0,10.79983711,5.02277184,43.892368945741794,9.674999999999999,32.25
SRB,2008,0.9999999999999994,671.88702393,0.0,12.92955971,9.12807178,42.070112886876096,8.307,27.69
UKR,2008,1.0,212.75292969,0.0,6.77591944,5.49754429,38.87819679718585,4.101,13.67
ZAF,2008,1.0,442.10626221,0.0,13.01471424,7.14832258,41.14420509050085,1.371,4.57
ARM,2009,0.698061783917637,247.90641785,24.857074980951538,6.34490108,8.44377708,37.01982300655396,7.071,23.57
BEL,2009,0.5096705766000158,4755.80859375,0.0,14.38507843,10.54393387,51.56214862453076,6.303,21.01
BLR,2009,0.919541353008706,288.44775391,0.0,6.73101664,5.3906498,40.38494912979991,4.584,15.28
CAN,2009,0.45861222440952426,4355.83056641,0.0,17.32548904,10.70402527,51.06593124683805,3.87,12.9
CYP,2009,0.999999980813362,2105.4777832,5.282308782173033,6.12379742,6.46531534,49.818490553551726,8.448,28.16
IDN,2009,0.9999999999988088,62.4021759,0.0,5.41294384,2.62324095,35.75864388639229,2.2169999999999996,7.39
KAZ,2009,0.8961721198791747,240.99569702,0.0,11.36352253,3.47355628,41.74798321432611,5.655,18.85
KGZ,2009,0.9999999999769442,59.93972397,0.0,10.6962328,6.89873457,30.844992392885402,3.894,12.98
KHM,2009,1.0,55.25073624,5.409539228236881,5.96768332,6.3089695,30.87835941854718,8.703,29.01
LVA,2009,1.0,744.66162109,0.0,8.06122971,6.2683239,44.62473467683817,13.218,44.06
MDA,2009,0.40982737953404,208.53004456,5.854523180840772,12.87592316,13.6766243,34.9404568151623,9.525,31.75
MLI,2009,0.999999999992784,34.64731598,43.86187038504976,2.92606354,5.21225691,30.320819274694244,3.249,10.83
NAM,2009,0.9999999997076429,420.74865723,0.0,13.49217892,9.90435314,39.23832817230444,0.429,1.43
NIC,2009,1.0,112.75749207,0.0,16.76971817,7.68584394,33.58693018060042,7.086,23.62
PER,2009,0.697417373286946,209.1973877,0.0,11.67159462,4.95976877,39.087579375186834,4.68,15.6
PHL,2009,0.8854477198282626,77.64539337,0.0,6.64473581,4.16451931,34.84558214897438,4.034999999999999,13.45
POL,2009,0.6543519762535457,759.60577393,0.0,10.49800205,6.57037735,44.42852809937044,13.08,43.6
PSE,2009,0.5675175519745413,221.97026062,24.078109096548545,8.17275143,10.76468372,35.6950431596227,7.638,25.46
